"year","area","haul_number","source"
2010,18,126,"no_few"
2010,18,133,"no_few"
2010,18,134,"no_few"
2010,18,135,"no_few"
2010,18,137,"no_few"
2010,18,158,"no_few"
2010,18,161,"no_few"
2010,18,162,"no_few"
2010,18,17,"no_few"
2010,18,175,"no_few"
2010,18,22,"no_few"
2010,18,8,"no_few"
2010,18,80,"no_few"
2010,18,83,"no_few"
2010,18,84,"no_few"
2010,18,88,"no_few"
2010,18,95,"no_few"
2011,18,117,"no_few"
2011,18,123,"no_few"
2011,18,125,"no_few"
2011,18,13,"no_few"
2011,18,133,"no_few"
2011,18,135,"no_few"
2011,18,137,"no_few"
2011,18,14,"no_few"
2011,18,147,"no_few"
2011,18,157,"no_few"
2011,18,158,"no_few"
2011,18,161,"no_few"
2011,18,162,"no_few"
2011,18,163,"no_few"
2011,18,22,"no_few"
2011,18,23,"no_few"
2011,18,41,"no_few"
2011,18,84,"no_few"
2011,18,95,"no_few"
2012,18,105,"no_few"
2012,18,110,"no_few"
2012,18,112,"no_few"
2012,18,117,"no_few"
2012,18,126,"no_few"
2012,18,129,"no_few"
2012,18,132,"no_few"
2012,18,134,"no_few"
2012,18,148,"no_few"
2012,18,154,"no_few"
2012,18,156,"no_few"
2012,18,161,"no_few"
2012,18,23,"no_few"
2012,18,4,"no_few"
2012,18,83,"no_few"
2012,18,84,"no_few"
2012,18,93,"no_few"
2012,18,95,"no_few"
2013,18,10,"no_few"
2013,18,100,"no_few"
2013,18,104,"no_few"
2013,18,107,"no_few"
2013,18,126,"no_few"
2013,18,131,"no_few"
2013,18,133,"no_few"
2013,18,134,"no_few"
2013,18,138,"no_few"
2013,18,23,"no_few"
2013,18,4,"no_few"
2013,18,41,"no_few"
2013,18,80,"no_few"
2013,18,83,"no_few"
2013,18,95,"no_few"
2013,18,97,"no_few"
2014,18,105,"no_few"
2014,18,107,"no_few"
2014,18,109,"no_few"
2014,18,110,"no_few"
2014,18,112,"no_few"
2014,18,126,"no_few"
2014,18,131,"no_few"
2014,18,132,"no_few"
2014,18,134,"no_few"
2014,18,147,"no_few"
2014,18,156,"no_few"
2014,18,160,"no_few"
2014,18,161,"no_few"
2014,18,22,"no_few"
2014,18,23,"no_few"
2014,18,4,"no_few"
2014,18,83,"no_few"
2014,18,84,"no_few"
2014,18,93,"no_few"
2014,18,95,"no_few"
2014,18,97,"no_few"
2015,18,105,"no_few"
2015,18,110,"no_few"
2015,18,112,"no_few"
2015,18,125,"no_few"
2015,18,126,"no_few"
2015,18,131,"no_few"
2015,18,132,"no_few"
2015,18,134,"no_few"
2015,18,163,"no_few"
2015,18,22,"no_few"
2015,18,6,"no_few"
2015,18,80,"no_few"
2015,18,93,"no_few"
2015,18,95,"no_few"
2016,18,101,"no_few"
2016,18,104,"no_few"
2016,18,105,"no_few"
2016,18,110,"no_few"
2016,18,112,"no_few"
2016,18,126,"no_few"
2016,18,134,"no_few"
2016,18,148,"no_few"
2016,18,150,"no_few"
2016,18,154,"no_few"
2016,18,160,"no_few"
2016,18,22,"no_few"
2016,18,4,"no_few"
2016,18,6,"no_few"
2016,18,8,"no_few"
2016,18,83,"no_few"
2016,18,84,"no_few"
2016,18,95,"no_few"
2016,18,97,"no_few"
1994,17,59,"no_shallow"
1994,17,60,"no_shallow"
